tem,Month,Year,rain
19.1005,JAN,2008,22.6256
19.783,FEB,2008,12.5362
25.6679,MAR,2008,38.8424
28.4216,APR,2008,101.169
28.5943,MAY,2008,206.353
27.8427,JUN,2008,477.063
28.0989,JUL,2008,588.575
28.1792,AUG,2008,311.883
28.5522,SEP,2008,235.861
27.0175,OCT,2008,160.93
23.7862,NOV,2008,6.53971
21.0141,DEC,2008,2.27446
20.3262,JAN,2009,0.65574
22.7193,FEB,2009,16.0921
25.9696,MAR,2009,26.2234
29.1815,APR,2009,199.444
28.5577,MAY,2009,209.835
29.1754,JUN,2009,224.577
28.8393,JUL,2009,558.314
28.5917,AUG,2009,317.717
28.964,SEP,2009,298.646
27.6979,OCT,2009,171.9
24.4304,NOV,2009,49.8057
20.2116,DEC,2009,3.71126
18.6795,JAN,2010,0.02014
21.7631,FEB,2010,4.31731
27.0261,MAR,2010,98.9955
29.1543,APR,2010,283.174
28.8466,MAY,2010,274.778
28.723,JUN,2010,451.158
28.7615,JUL,2010,358.158
28.9236,AUG,2010,293.918
28.6092,SEP,2010,349.922
27.9208,OCT,2010,207.224
25.1333,NOV,2010,8.98786
19.8122,DEC,2010,17.4939
18.0523,JAN,2011,4.69858
21.2404,FEB,2011,20.0933
25.5009,MAR,2011,23.1504
27.67,APR,2011,89.8199
28.2986,MAY,2011,258.967
28.5389,JUN,2011,626.279
28.2877,JUL,2011,414.579
28.0651,AUG,2011,1012.02
28.4788,SEP,2011,275.258
27.474,OCT,2011,52.3823
23.5306,NOV,2011,19.8951
20.4366,DEC,2011,0.95423
16.8493,JAN,2012,17.7638
20.0185,FEB,2012,2.89884
25.6603,MAR,2012,49.1879
26.6947,APR,2012,204.675
28.7705,MAY,2012,237.962
28.5034,JUN,2012,283.547
28.0643,JUL,2012,494.22
28.4723,AUG,2012,388.252
27.879,SEP,2012,245.315
26.1542,OCT,2012,166.98
23.0322,NOV,2012,21.3492
19.6466,DEC,2012,16.9888
17.7546,JAN,2013,1.14107
20.6546,FEB,2013,11.6018
25.3696,MAR,2013,9.01275
27.366,APR,2013,115.73
27.2544,MAY,2013,307.156
28.894,JUN,2013,357.403
28.3869,JUL,2013,473.361
27.8884,AUG,2013,395.807
28.0005,SEP,2013,234.519
26.4168,OCT,2013,254.758
22.1847,NOV,2013,0.00089
18.5529,DEC,2013,0.57815
17.1088,JAN,2014,0.1202
19.2051,FEB,2014,32.3783
24.4777,MAR,2014,11.8894
28.5882,APR,2014,53.5327
28.7169,MAY,2014,179.551
28.2088,JUN,2014,372.435
28.5261,JUL,2014,403.483
27.9512,AUG,2014,481.268
27.9355,SEP,2014,330.746
26.6371,OCT,2014,57.4383
22.6934,NOV,2014,0.22844
18.3739,DEC,2014,0.30376
17.8343,JAN,2015,8.75886
20.3632,FEB,2015,24.1695
24.6581,MAR,2015,21.2529
26.3966,APR,2015,198.791
28.3603,MAY,2015,167.221
28.2169,JUN,2015,450.405
27.8557,JUL,2015,715.223
28.0642,AUG,2015,512.127
28.123,SEP,2015,353.869
26.8624,OCT,2015,81.5994
23.1842,NOV,2015,4.60815
18.7124,DEC,2015,5.97798
19.0034,JAN,2016,25.5379
20.4179,FEB,2016,6.73176
25.4407,MAR,2016,35.4543
27.5527,APR,2016,280.166
28.8115,MAY,2016,168.951
27.7312,JUN,2016,559.224
28.1502,JUL,2016,563.936
27.9259,AUG,2016,452.636
28.1141,SEP,2016,239.818
25.4904,OCT,2016,102.363
22.401,NOV,2016,12.7244
19.1064,DEC,2016,1.9763
18.621,JAN,2017,6.28317
21.033,FEB,2017,2.50415
25.7471,MAR,2017,35.1278
28.5568,APR,2017,89.4853
28.8271,MAY,2017,291.993
27.3527,JUN,2017,628.946
27.9223,JUL,2017,637.45
27.8164,AUG,2017,414.03
27.915,SEP,2017,658.105
25.9622,OCT,2017,90.2567
23.0288,NOV,2017,3.28945
19.0427,DEC,2017,5.05268
18.6312,JAN,2018,0.2034
19.8836,FEB,2018,51.6389
24.9515,MAR,2018,37.3254
27.8685,APR,2018,225.583
28.1951,MAY,2018,217.668
28.7014,JUN,2018,375.707
27.8902,JUL,2018,264.157
28.1404,AUG,2018,741.587
28.085,SEP,2018,163.07
26.1335,OCT,2018,111.23
22.9939,NOV,2018,21.4818
19.4361,DEC,2018,5.71822
18.4881,JAN,2019,3.75275
20.5691,FEB,2019,10.9122
26.6422,MAR,2019,0.77195
28.7039,APR,2019,109.904
28.2107,MAY,2019,258.384
29.0303,JUN,2019,642.036
27.8485,JUL,2019,572.381
27.8401,AUG,2019,683.449
27.397,SEP,2019,317.495
27.2626,OCT,2019,119.125
22.7645,NOV,2019,143.815
19.0319,DEC,2019,0.42203
